"","AMZN","COST","Date"
"486",9.27,70.55,"2011-01-11"
"487",9.25,70.28,"2011-01-10"
"488",9.39,70.95,"2011-01-07"
"489",9.32,70.36,"2011-01-06"
"490",9.2,71.99,"2011-01-05"
"491",9.31,72.53,"2011-01-04"
"492",9.07,72.75,"2011-01-03"
"493",9.1,72.69,"2010-12-31"
"494",9.2,72.71,"2010-12-30"
"495",9.09,72.89,"2010-12-29"
"496",9.1,72.23,"2010-12-28"
"497",9.1,71.88,"2010-12-27"
"498",9.22,72.16,"2010-12-23"
"499",9.25,72.33,"2010-12-22"
"500",9.19,72.57,"2010-12-21"
"501",8.96,71.89,"2010-12-20"
"502",8.92,71.93,"2010-12-17"
"503",8.78,71.05,"2010-12-16"
"504",8.69,71.01,"2010-12-15"
"505",8.71,70.7,"2010-12-14"
"506",8.82,71.13,"2010-12-13"
"507",8.74,70.75,"2010-12-10"
"508",8.89,69.7,"2010-12-09"
"509",8.87,69.38,"2010-12-08"
"510",9.02,69.7,"2010-12-07"
"511",8.78,68.33,"2010-12-06"
"512",8.77,68.87,"2010-12-03"
"513",8.84,68.52,"2010-12-02"
"514",8.96,68.21,"2010-12-01"
"515",8.85,66.59,"2010-11-30"
"516",9,66.9,"2010-11-29"
"517",8.87,67.11,"2010-11-26"
"518",8.58,67.17,"2010-11-24"
"519",8.43,66.97,"2010-11-23"
"520",8.26,66.27,"2010-11-22"
"521",8.2,66.26,"2010-11-19"
"522",8.04,67.25,"2010-11-18"
"523",7.89,66.02,"2010-11-17"
"524",7.94,65.19,"2010-11-16"
"525",8.26,65.45,"2010-11-15"
"526",8.51,64.88,"2010-11-12"
"527",8.55,64.1,"2010-11-11"
"528",8.53,64.02,"2010-11-10"
"529",8.63,64.7,"2010-11-09"
"530",8.54,64.86,"2010-11-08"
"531",8.47,65.53,"2010-11-05"
"532",8.49,63.89,"2010-11-04"
"533",8.27,63.53,"2010-11-03"
"534",8.19,63.55,"2010-11-02"
"535",8.22,63.05,"2010-11-01"
"536",8.29,62.61,"2010-10-29"
"537",8.42,63.06,"2010-10-28"
"538",8.45,63.38,"2010-10-27"
"539",8.38,63.52,"2010-10-26"
"540",8.58,64.12,"2010-10-25"
"541",8.12,63.84,"2010-10-22"
"542",8.13,62.56,"2010-10-21"
"543",7.94,62.35,"2010-10-20"
"544",8.03,62.66,"2010-10-19"
"545",8.25,63.42,"2010-10-18"
"546",7.92,63.46,"2010-10-15"
"547",7.76,63.12,"2010-10-14"
"548",7.83,63.2,"2010-10-13"
"549",7.63,64.03,"2010-10-12"
"550",7.74,63.39,"2010-10-11"
"551",7.76,64.4,"2010-10-08"
"552",7.83,65.22,"2010-10-07"
"553",8.03,63,"2010-10-06"
"554",7.85,65,"2010-10-05"
"555",7.7,65.06,"2010-10-04"
"556",7.85,64.92,"2010-10-01"
"557",8,64.87,"2010-09-30"
"558",7.95,64.93,"2010-09-29"
"559",7.99,63.86,"2010-09-28"
"560",8.01,63.82,"2010-09-27"
"561",7.77,63,"2010-09-24"
"562",7.56,62.05,"2010-09-23"
"563",7.49,61.52,"2010-09-22"
"564",7.54,61.21,"2010-09-21"
"565",7.43,61.51,"2010-09-20"
"566",7.45,61.5,"2010-09-17"
"567",7.27,61.16,"2010-09-16"
"568",7.24,61.04,"2010-09-15"
"569",7.22,60,"2010-09-14"
"570",7.2,59.82,"2010-09-13"
"571",7.04,59.3,"2010-09-10"
"572",7.02,59.5,"2010-09-09"
"573",6.9,59.37,"2010-09-08"
"574",6.88,58.25,"2010-09-07"
"575",6.84,59.05,"2010-09-03"
"576",6.61,58.41,"2010-09-02"
"577",6.32,56.93,"2010-09-01"
"578",6.14,55.86,"2010-08-31"
"579",6.3,56.21,"2010-08-30"
"580",6.27,56.39,"2010-08-27"
"581",6.36,57.13,"2010-08-26"
"582",6.19,55.37,"2010-08-25"
"583",6.27,54.52,"2010-08-24"
"584",6.39,55.33,"2010-08-23"
"585",6.36,54.73,"2010-08-20"
"586",6.46,55.44,"2010-08-19"
"587",6.46,55.25,"2010-08-18"
"588",6.37,55.51,"2010-08-17"
"589",6.18,55.14,"2010-08-16"
"590",6.3,55.41,"2010-08-13"
"591",6.19,55.49,"2010-08-12"
